cer,wer,bwer,line_count_match,gt_line_count,transcription_line_count,document_id,method,pred_line_count,segmentation_accuracy,bow_error_rate
0.0204878048780487,0.0846560846560846,0.0846560846560846,True,21,21,71106002,gemini,,,
0.0276381909547738,0.0854271356783919,0.0904522613065326,True,22,22,71108002,gemini,,,
0.0435897435897435,0.1366906474820144,0.1366906474820144,True,15,15,71112003,gemini,,,
0.04162976085031,0.1384615384615384,0.1384615384615384,True,26,26,71157001,gemini,,,
0.0543382997370727,0.1822660098522167,0.1724137931034483,True,27,27,71002003,gemini,,,
0.0373134328358208,0.0888888888888888,0.0777777777777777,True,12,12,71133003,gemini,,,
0.0075187969924812,0.0434782608695652,0.0434782608695652,True,4,4,71042002,gemini,,,
0.032258064516129,0.1666666666666666,0.1666666666666666,True,7,7,71054002,gemini,,,
0.160676532769556,0.3672316384180791,0.3220338983050847,True,28,28,71003003,gemini,,,
0.0316649642492339,0.1461988304093567,0.1461988304093567,True,21,21,71111002,gemini,,,
0.0185365853658536,0.0793650793650793,0.0793650793650793,True,21,21,71106002,gemini,,,
0.0159128978224455,0.0753768844221105,0.0703517587939698,True,22,22,71108002,gemini,,,
0.0448717948717948,0.1366906474820144,0.1366906474820144,True,15,15,71112003,gemini,,,
0.0434012400354295,0.1435897435897435,0.1435897435897435,True,26,26,71157001,gemini,,,
0.0578439964943032,0.2118226600985221,0.1970443349753694,True,27,27,71002003,gemini,,,
0.0391791044776119,0.0888888888888888,0.0777777777777777,True,12,12,71133003,gemini,,,
0.0075187969924812,0.0434782608695652,0.0434782608695652,True,4,4,71042002,gemini,,,
0.0230414746543778,0.1388888888888889,0.1388888888888889,True,7,7,71054002,gemini,,,
0.1194503171247357,0.327683615819209,0.2937853107344633,True,28,28,71003003,gemini,,,
0.0296220633299285,0.1345029239766081,0.1345029239766081,True,21,21,71111002,gemini,,,
0.0185365853658536,0.0793650793650793,0.0793650793650793,True,21,21,71106002,gemini,,,
0.016750418760469,0.0753768844221105,0.0753768844221105,True,22,22,71108002,gemini,,,
0.0423076923076923,0.1223021582733813,0.1223021582733813,True,15,15,71112003,gemini,,,
0.04162976085031,0.1333333333333333,0.1333333333333333,True,26,26,71157001,gemini,,,
0.0587204206836108,0.1773399014778325,0.1576354679802955,True,27,27,71002003,gemini,,,
0.0410447761194029,0.1111111111111111,0.1,True,12,12,71133003,gemini,,,
0.0075187969924812,0.0434782608695652,0.0434782608695652,True,4,4,71042002,gemini,,,
0.032258064516129,0.1388888888888889,0.1388888888888889,True,7,7,71054002,gemini,,,
0.1226215644820296,0.3220338983050847,0.2824858757062147,True,28,28,71003003,gemini,,,
0.0337078651685393,0.1345029239766081,0.1345029239766081,True,21,21,71111002,gemini,,,
0.011605415860735,0.0471204188481675,0.0471204188481675,False,23,23,71106002,gemini,21.0,0.9130434782608696,0.0808080808080807
0.0141548709408825,0.0597014925373134,0.0597014925373134,False,24,24,71108002,gemini,22.0,0.9166666666666666,0.1042654028436018
0.027603513174404,0.1118881118881118,0.1118881118881118,False,16,16,71112003,gemini,15.0,0.9375,0.1858974358974359
0.0490633363068688,0.1421319796954314,0.1319796954314721,False,23,23,71157001,gemini,26.0,0.8846153846153846,0.2119815668202764
0.0560828300258843,0.173076923076923,0.1442307692307692,True,27,27,71002003,gemini,27.0,1.0,0.2425531914893617
0.0514705882352941,0.1208791208791208,0.1098901098901098,False,14,14,71133003,gemini,12.0,0.8571428571428571,0.1899999999999999
0.0434782608695652,0.16,0.16,False,6,6,71042002,gemini,4.0,0.6666666666666666,0.2222222222222222
0.0277777777777777,0.1388888888888889,0.1388888888888889,True,7,7,71054002,gemini,7.0,1.0,0.2249999999999999
0.1153846153846153,0.2258064516129032,0.1666666666666666,False,32,32,71003003,gemini,28.0,0.875,0.2824074074074074
0.10931174089068826,0.16666666666666666,0.15517241379310345,False,23,23,071111002,gemini,21.0,0.9130434782608695,0.20540540540540542
