cer,wer,bow_error_rate,line_count_match,gt_line_count,transcription_line_count,pred_line_count,segmentation_accuracy,document_id,method
0.09586056644880174,0.4056603773584906,0.5580865603644647,True,34,34,34,1.0,7474188,mistral
0.15718475073313784,0.45936395759717313,0.5703883495145632,True,31,31,31,1.0,7474189,mistral
0.1191740412979351,0.4517241379310345,0.5772946859903382,True,31,31,31,1.0,7474194,mistral
0.10628825820812465,0.4369230769230769,0.5833333333333333,True,33,33,33,1.0,7474190,mistral
0.29770992366412213,0.75,0.7741935483870968,False,4,4,10,0.4,7474184,mistral
0.19361413043478262,0.44047619047619047,0.5194444444444444,False,28,28,29,0.9655172413793104,7474185,mistral
0.10080428954423593,0.4319526627218935,0.5753138075313807,True,33,33,33,1.0,7474191,mistral
0.08501362397820164,0.38801261829652994,0.5333333333333333,True,33,33,33,1.0,7474187,mistral
0.1212290502793296,0.4716981132075472,0.6012931034482758,True,32,32,32,1.0,7474193,mistral
0.11452682338758288,0.4697508896797153,0.6115288220551378,False,33,33,34,0.9705882352941176,7474186,mistral
